id,repository_id,url,stars,commit_count,sizes,fork,release_count,release_id,repos_addr
144,2927004,https://github.com/jgilfelt/android-sqlite-asset-helper,1932,70,1984,505,4,NULL,home/fdse/data/prior_repository/jgilfelt/android-sqlite-asset-helper
145,2489216,https://github.com/JetBrains/intellij-community,5822,217715,2893313,2238,60062,NULL,home/fdse/data/prior_repository/JetBrains/intellij-community
146,1466080,https://github.com/sqlcipher/android-database-sqlcipher,1452,447,39944,459,33,NULL,home/fdse/data/prior_repository/sqlcipher/android-database-sqlcipher
147,4385294,https://github.com/thymeleaf/thymeleaf,1236,1640,8412,237,53,NULL,home/fdse/data/prior_repository/thymeleaf/thymeleaf
148,206317,https://github.com/apache/camel,1791,32080,204505,2623,123,NULL,home/fdse/data/prior_repository/apache/camel
149,2623406,https://github.com/internetarchive/heritrix3,1138,1893,9543,555,2,NULL,home/fdse/data/prior_repository/internetarchive/heritrix3
150,887840,https://github.com/jackpal/Android-Terminal-Emulator,1793,1038,6230,726,40,NULL,home/fdse/data/prior_repository/jackpal/Android-Terminal-Emulator
151,1033614,https://github.com/functionaljava/functionaljava,1104,950,3074,180,13,NULL,home/fdse/data/prior_repository/functionaljava/functionaljava
152,283325,https://github.com/qos-ch/logback,1233,3852,26241,649,70,NULL,home/fdse/data/prior_repository/qos-ch/logback
153,2471372,https://github.com/jgilfelt/android-viewbadger,2952,21,297,1089,0,NULL,home/fdse/data/prior_repository/jgilfelt/android-viewbadger
154,2942615,https://github.com/JakeWharton/NineOldAndroids,4349,115,1207,1669,9,NULL,home/fdse/data/prior_repository/JakeWharton/NineOldAndroids
155,291570,https://github.com/apache/shiro,1620,1726,24563,1037,22,NULL,home/fdse/data/prior_repository/apache/shiro
156,2264200,https://github.com/JakeWharton/Android-DirectionalViewPager,1016,44,1293,437,4,NULL,home/fdse/data/prior_repository/JakeWharton/Android-DirectionalViewPager
157,2413817,https://github.com/groovy/groovy-core,1481,12378,162860,415,149,NULL,home/fdse/data/prior_repository/groovy/groovy-core
158,3481898,https://github.com/jasonpolites/gesture-imageview,1137,67,1377,546,1,NULL,home/fdse/data/prior_repository/jasonpolites/gesture-imageview
159,2407497,https://github.com/MikeOrtiz/TouchImageView,1885,85,5189,770,3,NULL,home/fdse/data/prior_repository/MikeOrtiz/TouchImageView
160,3894929,https://github.com/hamcrest/JavaHamcrest,1360,626,19054,255,9,NULL,home/fdse/data/prior_repository/hamcrest/JavaHamcrest
161,160999,https://github.com/apache/zookeeper,4261,1632,33849,2932,82,NULL,home/fdse/data/prior_repository/apache/zookeeper
162,85673,https://github.com/yui/yuicompressor,2592,511,5743,622,42,NULL,home/fdse/data/prior_repository/yui/yuicompressor
163,3081071,https://github.com/yasserg/crawler4j,2816,420,947,1556,4,NULL,home/fdse/data/prior_repository/yasserg/crawler4j
164,2544305,https://github.com/tomakehurst/wiremock,2270,1480,11771,710,73,NULL,home/fdse/data/prior_repository/tomakehurst/wiremock
165,6271421,https://github.com/azkaban/azkaban,1712,2078,47712,813,80,NULL,home/fdse/data/prior_repository/azkaban/azkaban
166,1161862,https://github.com/spockframework/spock,1880,2365,18361,302,23,NULL,home/fdse/data/prior_repository/spockframework/spock
167,1364139,https://github.com/grantland/android-autofittextview,3389,61,1190,586,4,NULL,home/fdse/data/prior_repository/grantland/android-autofittextview
168,5312486,https://github.com/johnkil/Android-AppMsg,1380,62,960,430,4,NULL,home/fdse/data/prior_repository/johnkil/Android-AppMsg
169,2629978,https://github.com/chewiebug/GCViewer,2109,648,6270,528,11,NULL,home/fdse/data/prior_repository/chewiebug/GCViewer
170,5194068,https://github.com/mmin18/AndroidDynamicLoader,1325,30,4049,513,0,NULL,home/fdse/data/prior_repository/mmin18/AndroidDynamicLoader
171,3161748,https://github.com/mrniko/netty-socketio,2649,759,1840,816,30,NULL,home/fdse/data/prior_repository/mrniko/netty-socketio
172,5103785,https://github.com/undertow-io/undertow,1934,4261,20784,573,215,NULL,home/fdse/data/prior_repository/undertow-io/undertow
173,2993595,https://github.com/medcl/elasticsearch-analysis-ik,4147,227,7553,1135,67,NULL,home/fdse/data/prior_repository/medcl/elasticsearch-analysis-ik
174,3250434,https://github.com/DozerMapper/dozer,1068,981,20787,352,10,NULL,home/fdse/data/prior_repository/DozerMapper/dozer
175,3333998,https://github.com/timmolter/XChange,2209,6384,30804,1035,26,NULL,home/fdse/data/prior_repository/timmolter/XChange
176,2156530,https://github.com/jcoleman/tomcat-redis-session-manager,1431,103,676,1010,6,NULL,home/fdse/data/prior_repository/jcoleman/tomcat-redis-session-manager
177,2493904,https://github.com/apache/tomcat,2212,19355,57580,1580,66,NULL,home/fdse/data/prior_repository/apache/tomcat
178,501687,https://github.com/antlr/antlr4,3849,6865,62141,1078,37,NULL,home/fdse/data/prior_repository/antlr/antlr4
179,5373551,https://github.com/libgdx/libgdx,13717,13199,1001753,5619,44,NULL,home/fdse/data/prior_repository/libgdx/libgdx
180,1705960,https://github.com/perwendel/spark,7365,931,2309,1352,18,NULL,home/fdse/data/prior_repository/perwendel/spark
181,688352,https://github.com/apache/jmeter,1779,15459,153249,742,102,NULL,home/fdse/data/prior_repository/apache/jmeter
182,4755480,https://github.com/tjerkw/Android-SlideExpandableListView,1981,95,6416,813,1,NULL,home/fdse/data/prior_repository/tjerkw/Android-SlideExpandableListView
